Date,Open,High,Low,Close,Adj Close,Volume
"Jan 29, 2007",1422.03,1426.94,1418.46,1420.62,1420.62,2730480000
"Jan 26, 2007",1423.9,1427.27,1416.96,1422.18,1422.18,2626620000
"Jan 25, 2007",1440.12,1440.69,1422.34,1423.9,1423.9,2994330000
"Jan 24, 2007",1427.96,1440.14,1427.96,1440.13,1440.13,2783180000
"Jan 23, 2007",1422.95,1431.33,1421.66,1427.99,1427.99,2975070000
"Jan 22, 2007",1430.47,1431.39,1420.4,1422.95,1422.95,2540120000
"Jan 19, 2007",1426.35,1431.57,1425.19,1430.5,1430.5,2777480000
"Jan 18, 2007",1430.59,1432.96,1424.21,1426.37,1426.37,2822430000
"Jan 17, 2007",1431.77,1435.27,1428.57,1430.62,1430.62,2690270000
"Jan 16, 2007",1430.73,1433.93,1428.62,1431.9,1431.9,2599530000
"Jan 12, 2007",1423.82,1431.23,1422.58,1430.73,1430.73,2686480000
"Jan 11, 2007",1414.84,1427.12,1414.84,1423.82,1423.82,2857870000
"Jan 10, 2007",1408.7,1415.99,1405.32,1414.85,1414.85,2764660000
"Jan 09, 2007",1412.84,1415.61,1405.42,1412.11,1412.11,3038380000
"Jan 08, 2007",1409.26,1414.98,1403.97,1412.84,1412.84,2763340000
"Jan 05, 2007",1418.34,1418.34,1405.75,1409.71,1409.71,2919400000
"Jan 04, 2007",1416.6,1421.84,1408.43,1418.34,1418.34,3004460000
"Jan 03, 2007",1418.03,1429.42,1407.86,1416.6,1416.6,3429160000
"Dec 29, 2006",1424.71,1427,1416.84,1418.3,1418.3,1678200000
"Dec 28, 2006",1426.77,1427.26,1422.05,1424.73,1424.73,1508570000
"Dec 27, 2006",1416.63,1427.72,1416.63,1426.84,1426.84,1667370000
"Dec 26, 2006",1410.75,1417.91,1410.45,1416.9,1416.9,1310310000
"Dec 22, 2006",1418.1,1418.82,1410.28,1410.76,1410.76,1647590000
"Dec 21, 2006",1423.2,1426.4,1415.9,1418.3,1418.3,2322410000
"Dec 20, 2006",1425.51,1429.05,1423.51,1423.53,1423.53,2387630000
"Dec 19, 2006",1422.42,1428.3,1414.88,1425.55,1425.55,2717060000
"Dec 18, 2006",1427.08,1431.81,1420.65,1422.48,1422.48,2568140000
"Dec 15, 2006",1425.48,1431.63,1425.48,1427.09,1427.09,3229580000
"Dec 14, 2006",1413.16,1427.23,1413.16,1425.49,1425.49,2729700000
"Dec 13, 2006",1411.32,1416.64,1411.05,1413.21,1413.21,2552260000
"Dec 12, 2006",1413,1413.78,1404.75,1411.56,1411.56,2738170000
"Dec 11, 2006",1409.81,1415.6,1408.56,1413.04,1413.04,2289900000
"Dec 08, 2006",1407.27,1414.09,1403.67,1409.84,1409.84,2440460000
"Dec 07, 2006",1412.86,1418.27,1406.8,1407.29,1407.29,2743150000
"Dec 06, 2006",1414.4,1415.93,1411.05,1412.9,1412.9,2725280000
"Dec 05, 2006",1409.1,1415.27,1408.78,1414.76,1414.76,2755700000
"Dec 04, 2006",1396.67,1411.23,1396.67,1409.12,1409.12,2766320000
"Dec 01, 2006",1400.63,1402.46,1385.93,1396.71,1396.71,2800980000
"Nov 30, 2006",1399.47,1406.3,1393.83,1400.63,1400.63,4006230000
"Nov 29, 2006",1386.11,1401.14,1386.11,1399.48,1399.48,2790970000
"Nov 28, 2006",1381.61,1387.91,1377.83,1386.72,1386.72,2639750000
"Nov 27, 2006",1400.95,1400.95,1381.44,1381.96,1381.96,2711210000
"Nov 24, 2006",1405.94,1405.94,1399.25,1400.95,1400.95,832550000
"Nov 22, 2006",1402.69,1407.89,1402.26,1406.09,1406.09,2237710000
"Nov 21, 2006",1400.43,1403.49,1399.99,1402.81,1402.81,2597940000
"Nov 20, 2006",1401.17,1404.37,1397.85,1400.5,1400.5,2546710000
"Nov 17, 2006",1399.76,1401.21,1394.55,1401.2,1401.2,2726100000
"Nov 16, 2006",1396.53,1403.76,1396.53,1399.76,1399.76,2835730000
"Nov 15, 2006",1392.91,1401.35,1392.13,1396.57,1396.57,2831130000
"Nov 14, 2006",1384.36,1394.49,1379.07,1393.22,1393.22,3027480000
"Nov 13, 2006",1380.58,1387.61,1378.8,1384.42,1384.42,2386340000
"Nov 10, 2006",1378.33,1381.04,1375.6,1380.9,1380.9,2290200000
"Nov 09, 2006",1385.43,1388.92,1377.31,1378.33,1378.33,3012050000
"Nov 08, 2006",1382.5,1388.61,1379.33,1385.72,1385.72,2814820000
"Nov 07, 2006",1379.75,1388.19,1379.19,1382.84,1382.84,2636390000
"Nov 06, 2006",1364.27,1381.4,1364.27,1379.78,1379.78,2533550000
"Nov 03, 2006",1367.31,1371.68,1360.98,1364.3,1364.3,2419730000
"Nov 02, 2006",1367.44,1368.39,1362.21,1367.34,1367.34,2646180000
"Nov 01, 2006",1377.76,1381.95,1366.26,1367.81,1367.81,2821160000
